account_id,device
0-3202920,"iPod5,1"
0-3203494,"iPhone3,1"
0-3204068,"iPod4,1"
0-3204642,"iPhone5,2"
0-3205216,"iPod4,1"
0-3205790,"iPhone3,3"
0-3206364,"iPod4,1"
0-3206938,"iPhone4,1"
0-3207512,"iPhone2,1"
0-3208086,"iPhone4,1"
0-3208660,"iPhone4,1"
0-3209234,"iPad2,2"
0-3209808,"iPhone3,1"
0-3210382,"iPod4,1"
0-3210956,"iPad3,1"
0-3211530,"iPhone4,1"
0-3212104,"iPad1,1"
0-3212678,"iPad2,4"
0-3213252,"iPhone3,2"
0-3213826,"iPhone2,1"
0-3214400,"iPod4,1"
0-3214974,"iPhone5,1"
0-3215548,"iPad2,4"
0-3216122,"iPad3,1"
0-3216696,"iPod4,1"
0-3217270,"iPad2,5"
0-3217844,"iPhone3,1"
0-3218418,"iPad3,1"
0-3218992,"iPod4,1"
0-3219566,"iPhone3,1"
0-3220140,"iPhone5,1"
0-3220714,"iPod4,1"
0-3221288,"iPad2,1"
0-3221862,"iPad3,3"
0-3222436,"iPhone5,2"
0-3222875,"iPad2,1"
0-3223450,"iPod4,1"
0-3224025,"iPhone4,1"
0-3224600,"iPod4,1"
0-3225175,"iPhone4,1"
0-3225750,"iPad2,2"
0-3226325,"iPod4,1"
0-3226900,"iPhone5,2"
0-3227475,"iPod4,1"
0-3228050,"iPhone4,1"
0-3228625,"iPhone3,1"
0-3229200,"iPad3,1"
0-3229775,"iPad3,1"
0-3230350,"iPhone4,1"
0-3230925,"iPad2,5"
0-3231500,"iPad3,3"
0-3232075,"iPhone3,1"
0-3232650,"iPhone4,1"
0-3233225,"iPad3,4"
0-3233800,"iPhone4,1"
0-3234375,"iPhone3,1"
0-3234950,"iPad2,4"
0-3235525,"iPod4,1"
0-3236100,"iPod4,1"
0-3236675,"iPad1,1"
0-3237250,"iPhone5,2"
0-3237825,"iPhone4,1"
0-3238400,"iPod5,1"
0-3238975,"iPad2,1"
0-3239550,"iPhone3,1"
0-3240125,"iPod4,1"
0-3240700,"iPhone5,1"
0-3241275,"iPhone3,1"
0-3241850,"iPad3,3"
0-3242425,"iPad2,7"
0-3243000,"iPhone5,2"
0-3243575,"iPhone2,1"
0-3244150,"iPhone5,2"
0-3244725,"iPhone4,1"
0-3245300,"iPhone4,1"
0-3245875,"iPod4,1"
0-3246450,"iPhone4,1"
0-3247025,"iPod3,1"
0-3247488,"iPad2,1"
0-3248064,"iPod4,1"
0-3248640,"iPad2,4"
0-3249216,"iPod4,1"
0-3249792,"iPad1,1"
0-3250368,"iPhåne2,1"
0-3250944,"iPod5,1"
0-3251520,"iPhone4,1"
0-3252096,"iPhone4,1"
0-3252672,"iPhone4,1"
0-3253248,"iPhone3,3"
0-3253824,"iPhone4,1"
0-3254400,"iPad2,5"
0-3254976,"iPhone4,1"
0-3255552,"iPad2,2"
0-3256128,"iPad2,4"
0-3256704,"iPhåne2,1"
0-3257280,"iPhone5,2"
0-3257856,"iPhone3,1"
0-3258432,"iPhone5,2"
0-3259008,"iPad3,4"
0-3259584,"iPhåne2,1"
0-3260160,"iPad2,1"
0-3260736,"iPhone4,1"
0-3261312,"iPhone4,1"
0-3261888,"iPad2,2"
0-3262464,"iPhone3,1"
0-3263040,"iPhone4,1"
0-3263616,"iPad2,2"
0-3264192,"iPhåne2,1"
0-3264768,"iPhone5,2"
0-3265344,"iPad2,5"
0-3265920,"iPad1,1"
0-3266496,"iPad2,5"
0-3267072,"iPhone3,1"
0-3267648,"iPhone3,1"
0-3268224,"iPhåne2,1"
0-3268800,"iPhone4,1"
0-3269376,"iPhåne2,1"
0-3269952,"iPod4,1"
0-3270528,"iPhåne2,1"
0-3271104,"iPad2,3"
0-3271680,"iPad2,2"
0-3272256,"iPhåne2,1"
0-3273321,"iPad3,2"
0-3273898,"iPad2,5"
0-3274475,"iPhone3,1"
0-3275052,"iPad2,5"
0-3275629,"iPad2,4"
0-3276206,"iPhone3,1"
0-3276783,"iPad2,4"
0-3277360,"iPad2,3"
0-3277937,"iPhone5,2"
0-3278514,"iPad2,4"
0-3279091,"iPhone4,1"
0-3279668,"iPad1,1"
0-3280245,"iPhone4,1"
0-3280822,"iPad3,1"
0-3281399,"iPhone4,1"
0-3281976,"iPhone4,1"
0-3282553,"iPad2,4"
0-3283130,"iPhone5,2"
0-3283707,"iPhone5,1"
0-3284284,"iPhone4,1"
0-3284861,"iPad3,4"
0-3285438,"iPad3,3"
0-3286015,"iPhone4,1"
0-3286592,"iPhone4,1"
0-3287169,"iPod4,1"
0-3287746,"iPod4,1"
0-3288323,"iPhone3,1"
0-3288900,"iPad3,4"
0-3289477,"iPhone4,1"
0-3290054,"iPad2,2"
0-3290631,"iPad1,1"
0-3291208,"iPhone3,1"
0-3291785,"iPad2,1"
0-3292362,"iPod4,1"
0-3292939,"iPhone4,1"
0-3293516,"iPhone5,2"
0-3294093,"iPad2,2"
0-3294670,"iPhone3,1"
0-3295247,"iPad3,4"
0-3295824,"iPhone4,1"
0-3296401,"iPhone3,1"
