Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
12/1/15,5856,64%,73%,57%,62%,52%,57%,47%,51%,43%,47%,41%,46%,40%,43%,38%,42%,37%,39%,36%,38%,34%,36%,33%,34%,30%,33%,29%,32%,30%,32%,29%,31%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/16,5540,69%,80%,58%,68%,55%,62%,49%,57%,46%,53%,43%,50%,43%,46%,41%,44%,38%,42%,38%,41%,38%,39%,34%,36%,34%,36%,34%,35%,34%,34%,32%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/16,5242,70%,76%,60%,67%,54%,59%,49%,54%,46%,51%,44%,48%,42%,46%,41%,44%,39%,41%,37%,41%,36%,38%,35%,38%,33%,36%,33%,35%,32%,34%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/16,4270,66%,76%,58%,64%,52%,57%,47%,54%,46%,51%,44%,48%,42%,45%,39%,44%,38%,41%,38%,39%,35%,37%,36%,35%,34%,35%,33%,35%,32%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/16,3396,63%,74%,56%,62%,49%,55%,46%,51%,43%,49%,42%,47%,39%,43%,38%,40%,37%,39%,36%,36%,33%,35%,31%,33%,31%,34%,30%,32%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/16,3037,63%,76%,52%,64%,48%,60%,45%,54%,42%,50%,41%,49%,38%,46%,37%,42%,36%,40%,33%,39%,34%,37%,32%,37%,30%,36%,29%,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/16,3865,64%,72%,52%,61%,48%,56%,45%,51%,42%,47%,39%,44%,38%,42%,35%,39%,34%,37%,32%,36%,31%,35%,31%,34%,30%,33%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/16,3346,62%,71%,53%,62%,48%,56%,46%,50%,44%,47%,39%,45%,38%,41%,37%,39%,34%,36%,35%,34%,34%,36%,32%,34%,31%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/16,2932,61%,72%,54%,64%,50%,57%,45%,53%,40%,48%,40%,45%,37%,43%,36%,38%,34%,38%,32%,37%,31%,35%,30%,34%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/16,2690,61%,74%,55%,63%,49%,57%,44%,51%,42%,48%,39%,45%,37%,40%,35%,38%,34%,37%,32%,36%,33%,35%,32%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
