"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"278","https://www.airbnb.com/rooms/17861792","Scottsdale","-111.913477462987","33.464698371141","https://maps.google.com/maps?q=33.46469837114104706,-111.91347746298650634","Superb Remodeled House • Private Pool near 101&202","8","2","3","1","140","0","Martha & Dennis"
"279","https://www.airbnb.com/rooms/5146050","Scottsdale","-111.870085021838","33.6077323993517","https://maps.google.com/maps?q=33.60773239935170409,-111.87008502183836356","Stunning Scottsdale home! Amazing location!","8","2.5","3","1","225","1","Lisa"
"281","https://www.airbnb.com/rooms/17096214","Scottsdale","-111.922058301838","33.5038304238862","https://maps.google.com/maps?q=33.50383042388617127,-111.92205830183750948","Across From Old Town's Hottest Night Spots! #1002","5","2.5","2","0","95","0","Megan"
"282","https://www.airbnb.com/rooms/19053983","Scottsdale","-111.935434650737","33.485733464613","https://maps.google.com/maps?q=33.48573346461296296,-111.93543465073668131","cute condo in old town SCOTTSDALE","4","2","2","1","85","0","Phil"
"283","https://www.airbnb.com/rooms/16599109","Mesa","-111.874416571633","33.4265589079345","https://maps.google.com/maps?q=33.42655890793450624,-111.87441657163275011","Cubs Spring Training Mesa, Arizona - Wrigley West","7","2","3","0","80","1","Chad"
"284","https://www.airbnb.com/rooms/19140041","Phoenix","-112.077877723147","33.5000410671301","https://maps.google.com/maps?q=33.50004106713011254,-112.07787772314733843","Modern two-bedroom house in Midtown","5","1.5","2","0","40","1","John"
"285","https://www.airbnb.com/rooms/16414330","Mesa","-111.751882815439","33.3840738612162","https://maps.google.com/maps?q=33.38407386121623688,-111.75188281543920255","FANTASTIC MESA HOME WITH HEATED POOL.","8","2","4","1","125","1","Abhay"
"286","https://www.airbnb.com/rooms/14843437","Scottsdale","-111.913990893023","33.4939552599185","https://maps.google.com/maps?q=33.49395525991854328,-111.91399089302309733","Old Town Retreat","6","2","2","1","120","0","Jenn & Jeff"
"288","https://www.airbnb.com/rooms/17957120","Scottsdale","-111.94228530898","33.6384075106783","https://maps.google.com/maps?q=33.63840751067829160,-111.94228530897952112","Scottsdale Pool Home!","6","1","2","1","27","0","Robin"
"289","https://www.airbnb.com/rooms/2514355","Scottsdale","-111.852394048668","33.5879178344902","https://maps.google.com/maps?q=33.58791783449019164,-111.85239404866757695","Large Custom Resort Style N, Scottsdale Home.","7","2.5","4","1","190","0","Louis"
"290","https://www.airbnb.com/rooms/16260703","Scottsdale","-111.941462806615","33.5923233439563","https://maps.google.com/maps?q=33.59232334395632336,-111.94146280661468040","Unwind At Our Scottsdale Desert Estates Oasis!","6","1.5","2","1","85","1","David"
"292","https://www.airbnb.com/rooms/17388782","Scottsdale","-111.921541855836","33.5099087251858","https://maps.google.com/maps?q=33.50990872518579522,-111.92154185583639503","Newly renovated condo! Heart of Old Town!","6","2","2","1","80","0","Franco"
"293","https://www.airbnb.com/rooms/20903299","Phoenix","-112.110159900343","33.5999050924441","https://maps.google.com/maps?q=33.59990509244408941,-112.11015990034252354","Get-together Garden of North - central Phoenix","9","3","4","0","150","1","Dannette"
"294","https://www.airbnb.com/rooms/18960539","Phoenix","-112.032233441228","33.6526957922624","https://maps.google.com/maps?q=33.65269579226237084,-112.03223344122781668","Beautiful Quiet Condo w/Heated Pool N Phoenix","4","2","2","1","49","0","Maggie"
