"Number of daily deaths by local authority, England and Wales, deaths occurred in 2013 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,February,5,3,4,2,2,1,4,3,2,3,1,2,4,2,2,5,3,4,4,2,1,3,4,4,3,6,5,4,0,0,0,
,March,3,4,5,3,4,5,0,3,2,4,4,4,6,5,2,5,1,6,5,2,3,3,1,1,4,2,5,8,3,5,5,
,April,4,8,5,5,4,2,4,3,4,3,6,1,6,5,2,7,3,2,2,7,3,6,5,5,0,4,3,4,1,4,0,
,May,2,5,3,5,2,2,1,5,2,4,2,3,4,4,4,2,1,0,2,6,3,0,2,2,5,1,4,6,4,3,0,
,June,2,1,2,4,2,2,1,6,5,3,0,8,6,3,2,2,1,5,4,2,3,4,2,4,1,3,5,7,3,0,0,
,July,5,2,1,5,1,3,3,2,3,2,1,2,6,0,6,2,2,2,2,5,6,4,1,3,4,2,5,2,3,5,5,
,August ,2,5,3,5,1,1,2,2,2,2,2,3,2,3,6,2,3,3,3,3,1,1,0,5,7,4,4,2,4,6,3,
,September,1,5,6,3,2,5,2,4,1,1,5,5,2,4,2,6,4,4,2,2,4,3,4,2,5,5,4,3,6,1,0,
,October,2,7,2,2,3,1,4,3,3,3,5,2,3,1,3,6,6,2,4,5,1,5,3,4,4,2,1,4,3,1,3,
,November,5,5,3,4,3,3,2,2,4,3,3,5,0,2,1,6,6,0,4,2,4,6,4,5,1,1,8,9,4,1,0,
,December,2,2,3,3,2,2,0,6,2,3,2,4,3,4,7,1,5,2,6,8,6,3,6,3,1,3,6,6,6,6,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassetlaw                               ,January,8,7,4,2,2,2,5,3,3,4,5,3,3,8,3,4,1,4,5,5,3,6,2,3,7,3,3,6,4,3,5,
,February,2,4,4,2,2,4,7,3,3,5,4,4,5,3,5,4,8,5,2,2,2,1,5,3,4,4,5,4,0,0,0,
,March,6,1,2,3,3,6,5,7,2,2,3,7,9,2,4,6,4,5,5,6,2,4,3,2,3,4,0,3,2,7,2,
,April,3,4,4,2,3,8,4,1,0,4,2,2,3,1,2,2,5,2,3,4,5,2,3,2,3,3,7,1,4,4,0,
,May,2,5,4,2,4,2,1,2,4,3,3,1,1,2,2,6,4,3,3,2,4,3,1,2,3,2,4,2,1,5,5,
,June,4,3,5,2,3,2,5,2,8,5,2,5,1,3,4,3,4,0,6,6,6,4,5,4,1,3,7,1,3,3,0,
,July,3,1,1,2,3,2,2,5,3,5,4,6,3,4,3,2,3,4,3,2,1,2,2,4,6,4,1,0,3,3,2,
,August ,4,2,5,2,2,4,6,4,1,2,2,0,4,2,4,4,1,2,3,1,0,3,3,4,2,4,1,1,0,4,2,
,September,4,3,3,3,2,2,2,4,2,1,3,3,1,2,6,6,2,3,2,3,3,5,2,2,1,1,1,1,5,5,0,
